Grado,Area,Pregunta,ImagenPregunta,Opcion1,ImagenOpcion1,Opcion2,ImagenOpcion2,Opcion3,ImagenOpcion3,Opcion4,ImagenOpcion4,Respuesta
3°,Inglés,"Cuál es el color de una manzana roja?",img/apple.webp,Red,,Blue,,Green,,Black,,Red
3°,Inglés,"Cuál es la Oración correcta.",img/amiga.webp,She is my friend.,,He are my friend.,,They is my friend.,,I am my friend.,,She is my friend.
3°,Inglés,"Cuál es la Pregunta correcta.",img/name.webp,What is your name?,,Where are you?,,How you are?,,When is your name?,,What is your name?
3°,Inglés,"Cuál es la palabra en Inglés para “casa”?",img/casa.webp,House,,Car,,Tree,,Boat,,House
3°,Inglés,"Cuál es la palabra en Inglés para “comer”?",img/eat.webp,Eat,,Run,,Jump,,Sleep,,Eat
3°,Inglés,"Cuál es la palabra en Inglés para “cuaderno”?",img/notebook.webp,Notebook,,Desk,,Ruler,,Bag,,Notebook
3°,Inglés,"Cuál es la palabra en Inglés para “familia”?",img/family2.webp,Family,,School,,Street,,Garden,,Family
3°,Inglés,"Cuál es la palabra en Inglés para “gato”?",img/gato.webp,Dog,,Cat,,Bird,,Fish,,Cat
3°,Inglés,"Cuál es la palabra en Inglés para “libro”?",img/book.webp,Chair,,Table,,Book,,Pencil,,Book
3°,Inglés,"Cuál es la palabra en Inglés para “maestro(a)”?",img/teacher.webp,Teacher,,Student,,Doctor,,Driver,,Teacher
3°,Inglés,"Cuál es la palabra en Inglés para “mesa”?",img/table.webp,Table,,Chair,,Window,,Door,,Table
3°,Inglés,"Cuál es la palabra en Inglés para “niño”?",img/boy.webp,Boy,,Girl,,Baby,,Man,,Boy
3°,Inglés,"Cuál es la palabra en Inglés para “perro”?",img/dog.webp,Dog,,Cat,,Fish,,Bird,,Dog
3°,Inglés,"Cuál es la palabra en Inglés para “zapato”?",img/shoes.webp,Shoe,,Hat,,Shirt,,Ball,,Shoe
3°,Inglés,"Cuál es la respuesta correcta a: “What color is the sun?”",img/sun.webp,Yellow,,Pink,,Blue,,Purple,,Yellow
3°,Inglés,"Cuál es la respuesta correcta para: “How old are you?”",img/ocho.webp,I am fine.,,I am 8 years old.,,I like pizza.,,I live in a house.,,I am 8 years old.
3°,Inglés,"Cuál es la respuesta correcta para: “Where do you live?”",img/house.webp,I live in a house.,,I am 10 years old.,,I like ice cream.,,I have a dog.,,I live in a house.
3°,Inglés,"Cuál es la traducción correcta de “Good morning”?",img/morning.webp,Buenos días,,Buenas noches,,Buenas tardes,,Hola,,Buenos días
3°,Inglés,"Cuál es la traducción correcta de “I am happy”?",img/happy.webp,Yo soy feliz,,Yo estoy enojado,,Yo tengo frío,,Yo soy alto,,Yo soy feliz
3°,Inglés,"Cuál es la traducción correcta de “Thank you”?",img/thankyou.webp,Adiós,,Gracias,,Hola,,Por favor,,Gracias
3°,Inglés,"Cuál es la traducción correcta de “Where are you?”",img/where.webp,Dónde estás?,,Cuántos años tienes?,,Dónde vives?,,Qué haces?,,Dónde estás?
3°,Inglés,"En Inglés ¿cuál es color del cielo?",img/sky.webp,Blue,,Green,,Red,,Yellow,,Blue
3°,Inglés,"Qué fruta es “banana”?",img/banana.webp,Banana,,Manzana,,Pera,,Uva,,Banana
3°,Inglés,"Qué significa “blue”?",img/blue.webp,Azul,,Verde,,Rojo,,Negro,,Azul
3°,Inglés,"Selecciona la oración correcta.",img/family.webp,This is my mother.,,This are my mother.,,These is my mother.,,That am my mother.,,This is my mother.
